来源,一级分类,分类路径,文档标题,api_name,doc_id,官方文档,官方权限说明,官方描述,必填参数,Token权限,权限判定依据,探测返回码,探测消息,探测返回行数,claw_quant实现,实现位置
Tushare官方目录,指数专题,指数专题,SW指数历史分钟,sw_mins,469,https://tushare.pro/document/2?doc_id=469,本接口是单独的权限，具体请参阅 积分获取办法,获取申万指数历史分钟数据,"ts_code,freq",无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(sw_mins)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,指数专题,指数专题,中信行业成分,ci_index_member,373,https://tushare.pro/document/2?doc_id=373,用户需5000积分可调取，积分获取方法请参阅 积分获取办法,按三级分类提取中信行业成分，可提供某个分类的所有成分，也可按股票代码提取所属分类，参数灵活,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,指数专题,指数专题,中信行业指数行情,ci_daily,308,https://tushare.pro/document/2?doc_id=308,5000积分可调取，可通过指数代码和日期参数循环获取所有数据,获取中信行业指数日线行情；中信不再披露高开低成交量成交额字段,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,指数专题,指数专题,国际指数,index_global,211,https://tushare.pro/document/2?doc_id=211,用户积6000积分可调取，积分越高频次越高，请自行提高积分，具体请参阅 积分获取办法,获取国际主要指数日线行情,,有权限,接口返回成功,0,,0,已实现,collectors/index/global_index.py:IndexGlobalCollector
Tushare官方目录,指数专题,指数专题,大盘指数每日指标,index_dailybasic,128,https://tushare.pro/document/2?doc_id=128,,目前只提供上证综指，深证成指，上证50，中证500，中小板指，创业板指的每日指标数据 数据来源：Tushare社区统计计算 数据历史：从2004年1月开始提供 数据权限：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,,有权限,接口返回成功,0,,0,已实现,collectors/index/dailybasic.py:IndexDailybasicCollector
Tushare官方目录,指数专题,指数专题,指数历史分钟行情,idx_mins,419,https://tushare.pro/document/2?doc_id=419,需单独开权限，正式权限请参阅 权限说明 ，可以 在线开通 分钟权限。,获取交易所指数分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,"ts_code,freq",无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(idx_mins)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,指数专题,指数专题,指数周线行情,index_weekly,171,https://tushare.pro/document/2?doc_id=171,用户需要至少600积分才可以调取，积分越多频次越高，具体请参阅 积分获取办法,获取指数周线行情,,有权限,接口返回成功,0,,0,已实现,collectors/index/weekly.py:IndexWeeklyCollector
Tushare官方目录,指数专题,指数专题,指数基本信息,index_basic,94,https://tushare.pro/document/2?doc_id=94,,获取指数基础信息，数据起始时间1990-01-01，每天18点更新，2000积分起，单次返回8000行。,,有权限,接口返回成功,0,,1,已实现,collectors/index/basic.py:IndexBasicCollector
Tushare官方目录,指数专题,指数专题,A股实时分钟,rt_idx_min,420,https://tushare.pro/document/2?doc_id=420,正式权限请参阅 权限说明 注：支持股票当日开盘以来的所有历史分钟数据提取，接口名：rt_idx_min_daily（仅支持一个个指数提取，不同同时提取多个），可以 在线开通 权限。,获取交易所指数实时分钟数据，包括1~60min,"freq,ts_code",无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(rt_idx_min)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,指数专题,指数专题,A股实时分钟,rt_idx_min_daily,420,https://tushare.pro/document/2?doc_id=420,正式权限请参阅 权限说明 注：支持股票当日开盘以来的所有历史分钟数据提取，接口名：rt_idx_min_daily（仅支持一个个指数提取，不同同时提取多个），可以 在线开通 权限。,获取交易所指数实时分钟数据，包括1~60min,"freq,ts_code",无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(rt_idx_min_daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,指数专题,指数专题,交易所指数实时日线,rt_idx_k,403,https://tushare.pro/document/2?doc_id=403,本接口是单独开权限的数据，单独申请权限请参考 权限列表,获取交易所指数实时日线行情，支持按代码或代码通配符一次性提取全部交易所指数实时日k线行情,ts_code,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(rt_idx_k)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,指数专题,指数专题,指数成分和权重,index_weight,96,https://tushare.pro/document/2?doc_id=96,用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,获取各类指数成分和权重， 月度数据 ，建议输入参数里开始日期和结束日分别输入当月第一天和最后一天的日期。 来源：指数公司网站公开数据,index_code,有权限,接口返回成功,0,,7000,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,指数专题,指数专题,指数技术因子(专业版),idx_factor_pro,358,https://tushare.pro/document/2?doc_id=358,5000积分每分钟可以请求30次，8000积分以上每分钟500次,获取指数每日技术面因子数据，用于跟踪指数当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估，指数包括大盘指数 申万行业指数 中信指数,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,指数专题,指数专题,指数日线行情,index_daily,95,https://tushare.pro/document/2?doc_id=95,用户累积2000积分可调取，5000积分以上频次相对较高，具体请参阅 积分获取办法,获取各类指数每日行情，可通过指数代码和日期循环获取。本接口不包含 申万行业指数行情数据 。,ts_code,有权限,接口返回成功,0,,8000,已实现,collectors/index/daily.py:IndexDailyCollector
Tushare官方目录,指数专题,指数专题,指数月线行情,index_monthly,172,https://tushare.pro/document/2?doc_id=172,用户需要至少600积分才可以调取，积分越多频次越高，具体请参阅 积分获取办法,"获取指数月线行情,每月更新一次",,有权限,接口返回成功,0,,0,已实现,collectors/index/monthly.py:IndexMonthlyCollector
Tushare官方目录,指数专题,指数专题,市场交易统计,daily_info,215,https://tushare.pro/document/2?doc_id=215,用户积600积分可调取， 频次有限制，积分越高每分钟调取频次越高，5000积分以上频次相对较高，积分获取方法请参阅 积分获取办法,获取交易所股票交易统计，包括各板块明细,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,指数专题,指数专题,深圳市场每日交易概况,sz_daily_info,268,https://tushare.pro/document/2?doc_id=268,用户积2000积分可调取， 频次有限制，积分越高每分钟调取频次越高，5000积分以上频次相对较高，积分获取方法请参阅 积分获取办法,获取深圳市场每日交易概况,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,指数专题,指数专题,申万实时行情,rt_sw_k,417,https://tushare.pro/document/2?doc_id=417,本接口是单独开权限的数据，单独申请权限请参考 权限列表,获取申万行业指数的最新截面数据,,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(rt_sw_k)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,指数专题,指数专题,申万行业日线行情,sw_daily,327,https://tushare.pro/document/2?doc_id=327,,获取申万行业日线行情（默认是申万2021版行情）,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
